奕码·优化版 拆分表（hanzi-chai驱动，共8230字）
说明: 拆分中[xx]为PUA部件名；编码为三码全码；排名0=非top6000
------------------------------------------------------------
字	排名	频率	拆分	编码
的	1	92123018	白·勹·丶	gfz
一	2	27356423	一·一·一	eii
是	3	60632202	日·[定字底]·[定字底]	dhf
不	4	32331838	不·不·不	ubb
了	5	59562863	了·了·了	jll
在	6	57072466	[在字框]·土·土	cat
人	7	22310236	人·人·人	krr
有	8	33869044	[左字框]·[青字底]·[青字底]	cvy
我	9	41082993	手·戈·戈	hqg
他	10	14507163	亻·也·也	mdy
这	11	16995923	文·辶·辶	cod
个	12	9304535	[全字头]·丨·丨	kds
们	13	4360245	亻·门·门	mem
中	14	22318111	中·中·中	goo
来	15	12023272	未·丷·丷	nsb
上	16	17672983	上·上·上	iss
大	17	14749051	大·大·大	kdd
为	18	17035134	丶·[为字框]·丶	ziz
和	19	46836227	禾·口·口	wjk
国	20	3741987	囗·玉·玉	wpv
地	21	7522530	土·也·也	ady
到	22	14948468	至·刂·刂	rxd
以	23	10294298	[以字旁]·人·人	mkr
说	24	12236910	讠·[兑字头]·[见字底]	iqy
时	25	10435817	日·寸·寸	dpc
要	26	13943971	覀·女·女	vgn
就	27	26406172	[享字头]·小·尤	uhk
出	28	6387187	屮·凵·凵	ykk
会	29	17543962	[全字头]·云·云	kty
可	30	7546661	可·可·可	nkk
也	31	22136145	也·也·也	dyy
你	32	20296787	亻·[尔字头]·小	mih
对	33	14880376	又·寸·寸	rpc
生	34	3485393	生·生·生	tss
能	35	11093126	厶·[青字底]·匕	ovc
而	36	9619021	而·而·而	zee
子	37	2656853	子·子·子	yii
那	38	4881987	乚·[夫三]·阝	whz
得	39	5711290	彳·旦·寸	wvp
于	40	7480438	一·[于无横]·[于无横]	eus
着	41	6919927	[差字头]·目·目	ikm
下	42	7533527	一·卜·卜	epb
自	43	3229700	自·自·自	xii
之	44	6062185	之·之·之	qii
年	45	12349408	[卧人]·[年字底]·[年字底]	fzy
过	46	8319337	寸·辶·辶	pod
发	47	3729106	[发无又]·又·又	yry
后	48	10787364	[反字框]·[同字心]·[同字心]	ame
作	49	2339142	亻·乍·乍	mca
里	50	7046887	里·里·里	xll
用	51	8356257	用·用·用	qyy
道	52	2214854	䒑·自·辶	sxo
行	53	3617389	行·行·行	exx
所	54	4498811	戶·斤·斤	rlj
然	55	1143613	[然左角]·犬·灬	vzb
家	56	6785887	宀·豕·豕	las
种	57	1725876	禾·中·中	wgo
事	58	2669145	[同字心]·肀·肀	mqv
成	59	4742894	戊·乚·乚	jwe
方	60	2500808	方·方·方	uff
多	61	13521988	夕·夕·夕	ttx
经	62	2496510	纟·[经右角]·工	yrm
么	63	1511629	丿·厶·厶	aos
去	64	12095319	土·厶·厶	aos
法	65	2346490	氵·土·厶	oao
学	66	3726674	[学无子]·子·子	dyi
如	67	4873963	女·口·口	gjk
都	68	18779556	者·阝·阝	qzf
同	69	2447853	冂·[同字心]·[同字心]	gme
现	70	2225601	⺩·见·见	vej
当	71	3349423	[尚字头]·彐·彐	duw
没	72	7198338	氵·殳·殳	obs
动	73	1936470	云·力·力	til
面	74	2622622	面·面·面	lmm
起	75	2895601	走·己·己	fhj
看	76	9448537	龵·目·目	hkm
定	77	1709558	宀·[定字底]·[定字底]	lhf
天	78	3087135	天·天·天	gtt
分	79	3534552	八·刀·刀	tpd
还	80	13505104	不·辶·辶	uod
进	81	2398613	井·辶·辶	qod
好	82	16282831	女·子·子	gyi
小	83	9678711	小·小·小	hxx
部	84	2869486	立·口·阝	yjz
其	85	5547992	其·其·其	gqq
些	86	1403313	[止旁]·匕·二	kct
主	87	2163585	丶·王·王	zvw
样	88	1103098	木·羊·羊	siy
理	89	1645639	⺩·里·里	vxl
心	90	2320372	心·心·心	nxx
她	91	6159034	女·也·也	gdy
本	92	5789736	木·一·一	sei
前	93	5084175	䒑·[青字底]·刂	svx
开	94	3781673	开·开·开	ckk
但	95	9868389	亻·旦·旦	mvd
因	96	2715609	囗·大·大	wkd
只	97	3874395	口·八·八	jtb
从	98	7402629	人·人·人	kkr
想	99	6774355	木·目·心	skn
实	100	1554236	宀·[冬字底]·大	lfk
日	101	7707449	日·日·日	drr
军	102	1001093	冖·车·车	nnc
者	103	3942562	者·者·者	qee
意	104	1011477	音·心·心	snx
无	105	2778243	无·无·无	auu
力	106	1800752	力·力·力	ill
它	107	3796699	宀·匕·匕	lcb
与	108	11869898	一·乚·一	ewe
长	109	3826747	长·长·长	rcc
把	110	5538031	扌·巴·巴	hvb
机	111	2119852	木·几·几	swj
十	112	1698640	十·十·十	uss
民	113	1075325	民·民·民	dmm
第	114	5229354	[竹头]·[弟省]·[弟省]	pdk
公	115	2349033	八·厶·厶	tos
此	116	2595522	[止旁]·匕·匕	kcb
已	117	3300348	已·已·已	pii
工	118	1729863	工·工·工	mgg
使	119	2263081	亻·[同字心]·乂	mmh
情	120	1128975	忄·龶·[青字底]	qpv
明	121	1681656	日·月·月	dvy
性	122	3815784	忄·生·生	qts
知	123	1271711	矢·口·口	fjk
全	124	3113011	[全字头]·⺩·⺩	kvw
三	125	3822743	三·三·三	jss
又	126	5147707	又·又·又	ryy
关	127	1622602	丷·天·天	sgt
点	128	6473870	占·灬·灬	pbh
正	129	2066793	正·正·正	cee
业	130	2417531	业·业·业	lyy
外	131	2088596	夕·卜·卜	tpb
将	132	9976310	丬·夕·寸	ctp
两	133	2358370	一·内·人	eek
高	134	6825553	高·高·高	igg
间	135	1806254	门·日·日	edr
由	136	3757258	由·由·由	hyy
问	137	2261859	门·口·口	ejk
很	138	21847963	彳·艮·艮	wzg
最	139	8249156	日·耳·又	dxr
重	140	1985502	千·里·里	ixl
并	141	7754066	丷·开·开	sck
物	142	1086800	牜·勹·[横两撇]	ffi
手	143	2118717	手·手·手	hss
应	144	2222780	广·[应字心]·[应字心]	xdd
战	145	889643	占·戈·戈	pqg
向	146	3018210	[向字框]·口·口	qjk
头	147	1398734	[冬字底]·大·大	fkd
文	148	2210880	文·文·文	cww
体	149	1666073	亻·木·一	mse
政	150	780813	正·攵·攵	cyp
美	151	3026522	[美字头]·大·大	ikd
相	152	1399870	木·目·目	skm
见	153	1375659	见·见·见	ejj
被	154	10735161	衤·皮·皮	fsp
利	155	1943040	禾·刂·刂	wxd
什	156	607245	亻·十·十	mus
二	157	2662851	二·二·二	tee
