# 奕码优化版 字根编码表 (小码=官方音托不变, 大码=优化指派)
# 格式: 字根	编码(大+小)	拼音	音托依据	变体(形近归并)
未	aw	wei	声母托	
豸	ai	zhi	韵母托	
瓜	ag	gua	声母托	
己	aj	ji	声母托	
土	at	tu	声母托	
韦	aw	wei	声母托	韋
止	ai	zhi	韵母托	 
革	ag	ge	声母托	
夕	ax	xi	声母托	
开	ak	kai	声母托	
冖	ab	mi	形托/约定	
林	al	lin	声母托	
欠	aq	qian	声母托	
	ae		部件(形托)	
2	bs	2	形托/约定	
	bk		部件(形托)	
丁	bd	ding	声母托	
鼠	bs	shu	声母托	  鼡
乡	bx	xiang	声母托	
壴	bu	zhu	韵母托	
冂	bk	jiong	形托/约定	   凵
田	bt	tian	声母托	
艹	bc	cao	声母托	 廾 卅 卌 卝 丱  卄 
习	bx	xi	声母托	
瓦	bw	wa	声母托	
	cb		部件(形托)	
	cy		部件(形托)	
纟	cs	si	声母托	糸  糹
巳	cs	si	声母托	
米	cm	mi	声母托	
鸟	cn	niao	声母托	  鳥 
旦	cd	dan	声母托	
白	cb	bai	声母托	
召	ca	zhao	韵母托	
戈	dg	ge	声母托	
曼	dm	man	声母托	
足	du	zu	韵母托	
卵	dl	luan	声母托	
非	df	fei	声母托	
日	dr	ri	声母托	 曰 
骨	dg	gu	声母托	冎
乌	du	wu	韵母托	
几	dj	ji	声母托	
1	ei	1	形托/约定	
	ed		部件(形托)	
甘	eg	gan	声母托	
行	ex	xing	声母托	
甲	ej	jia	声母托	
女	en	nv	声母托	
皮	ep	pi	声母托	
户	eh	hu	声母托	戶  戸
聿	ev	yu	ü→v韵托	肀     
比	eb	bi	声母托	
四	es	si	声母托	罒
弋	fi	yi	韵母托	
㡀	fb	bi	声母托	
食	fs	shi	声母托	饣 飠
西	fx	xi	声母托	覀 襾
水	fs	shui	声母托	氺   乑 
采	fc	cai	声母托	釆
龸	fd		部件(形托)	    
耳	fe	er	声母托	阝
斤	fj	jin	声母托	
千	fq	qian	声母托	
3	gp	3	形托/约定	
6	gi	6	形托/约定	
丰	gf	feng	声母托	 龶  
二	ge	er	声母托	
曲	gq	qu	声母托	
石	gs	shi	声母托	
羊	gy	yang	声母托	   
犬	gq	quan	声母托	犭
民	gm	min	声母托	
亠	ht	tou	声母托	
牛	hn	niu	声母托	 牜
疋	hf	pi	形托/约定	  龰
手	hs	shou	声母托	龵     扌
乂	hi	yi	韵母托	㐅 乄
里	hl	li	声母托	圼
臣	ic	chen	声母托	 
方	if	fang	声母托	
