# 奕码优化版 拆分表 (官方拆分 100% 保真, 根名为主根字符)
的	白 勹 4
一	1
是	日 疋
不	不
了	了
在	右 土
人	人
有	右 月
我	手 戈
他	亻 也
这	文 辶
个	人 2
们	亻 门
中	中
来	未 丷
上	上
大	大
为	4 力 4
和	禾 口
国	囗 玉
地	土 也
到	至 刀
以	匕 人
说	言  儿
时	日 寸
要	西 女
就	高 小 尤
出	屮 冂
会	人 云
可	可
也	也
你	亻 角 小
对	又 寸
生	生
能	厶 月 匕 匕
而	而
子	子
那	5 手 耳
得	彳 旦 寸
于	1 十
着	羊 目
下	1 卜
自	自
之	之
年	气 㐄
过	寸 辶
发	屮 又
后	厂 
作	亻 乍
里	里
用	用
道	丷 自 辶
行	行
所	户 斤
然	月 犬 火
家	宀 豕
种	禾 中
事	 聿
成	戊 5
方	方
多	夕 夕
经	纟 又 工
么	3 厶
去	土 厶
法	氵 土 厶
学	龸 子
如	女 口
都	者 耳
同	冂 
现	王 见
当	龸 彐
没	氵 殳
动	云 力
面	面
起	走 己
看	手 目
定	宀 疋
天	天
分	八 刀
还	不 辶
进	井 辶
好	女 子
小	小
部	立 口 耳
其	其
些	止 匕 二
主	4 王
样	木 羊
理	王 里
心	心
她	女 也
本	木 1
前	丷 月 刀
开	开
但	亻 旦
因	囗 大
只	口 八
从	人 人
想	木 目 心
实	宀 冫 大
日	日
军	冖 车
者	者
意	音 心
无	无
力	力
它	宀 匕
与	1 5 1
长	长
把	手 巴
机	木 几
十	十
民	民
第	竹 
公	八 厶
此	止 匕
已	已
工	工
使	亻  乂
情	心 丰 月
明	日 月
性	心 生
知	矢 口
全	人 王
三	三
又	又
关	丷 天
点	占 火
正	正
业	业
外	夕 卜
将	片 夕 寸
两	1 内 人
高	高
间	门 日
由	由
问	门 口
很	彳 艮
最	日 耳 又
重	千 里
并	丷 开
物	牛 勹 彡
手	手
应	广 龸
战	占 戈
向	 口
头	冫 大
文	文
体	亻 木 1
政	正 夂
美	羊 大
相	木 目
见	见
被	衣 皮
利	禾 刀
什	亻 十
二	二
等	竹 寺
产	立 厂
或	戈 
新	立 木 斤
己	己
制	牛 巾 刀
身	身
果	田 木
加	力 口
西	西
斯	其 斤
月	月
话	言 舌
合	合
回	吅
特	牛 寺
代	亻 弋
内	内
信	亻 言
表	丰 衣
化	亻 匕
老	者 匕
给	纟 合
世	廿 5
位	亻 立
次	冫 欠
度	广 廿 又
门	门
任	亻 王
常	龸 口 巾
先	牛 儿
海	氵 气 母
通	厶 用 辶
教	者 子 夂
儿	儿
原	厂 白 小
东	七 小
声	士 尸
提	手 日 疋
立	立
及	及
比	比
员	口 贝
解	角 刀 牛
水	水
名	夕 口
真	直 八
论	言 人 匕
处	夂 卜
走	走
义	4 乂
各	各
入	人
几	几
口	口
认	言 人
条	夂 木
平	干 丷
系	3 纟
气	气
题	日 疋 页
活	氵 舌
尔	角 小
更	更
别	口 力 刀
打	手 丁
女	女
变	亦 又
四	四
神	示 申
总	 心
何	亻 可
电	电
数	米 女 夂
安	宀 女
少	小 3
报	手 卩 又
才	十 3
结	纟 吉
反	厂 又
受	 又
目	目
太	大 4
量	旦 里
再	 土
感	戊  心
建	聿 廴
务	夂 力
做	亻 古 夂
接	手 立 女
必	心 3
场	土 5 彡
件	亻 牛
计	言 十
管	竹 宀 吅
期	其 月
市	亠 巾
直	直
德	彳 十 四 1 心
资	冫 欠 贝
命	合 口 卩
山	山
金	金
指	手 匕 日
克	古 儿
许	言 气 十
统	纟 云 儿
区	匚 乂
保	亻 口 木
至	至
队	耳 人
形	开 彡
社	示 土
便	亻 更
空	穴 工
决	冫 匚 人
治	氵 厶 口
展	尸 廿 衣
马	马
科	禾 斗
司	5 
五	五
基	其 土
眼	目 艮
书	5 5 2 4
非	非
则	贝 刀
听	口 斤
白	白
却	土 厶 卩
界	田 人 
达	大 辶
光	龸 兀
放	方 夂
强	弓 口 虫
即	艮 卩
像	亻 象
且	且
难	又 隹
权	木 又
思	田 心
王	王
象	象
完	宀 二 儿
设	言 殳
式	弋 工
色	角 巴
路	足 各
记	言 己
南	十 冂 羊
品	口 吅
住	亻 4 王
告	牛 口
类	米 大
求	求
据	手 尸 古
程	禾 口 王
北	片 匕
边	力 辶
死	歹 匕
张	弓 长
该	言 亥
交	六 乂
规	夫 见
万	1 刀
取	耳 又
拉	手 立
格	木 各
望	亡 月 王
觉	龸 见
术	木 4
领	令 页
共	廿 八
确	石 角
传	亻 二 5 4
师	刀 1 巾
观	又 见
清	氵 丰 月
今	令 5
切	七 刀
院	耳 宀 二 儿
让	言 上
识	言 口 八
候	亻 匚 矢
带	 巾
导	巳 寸
争	角 聿
运	云 辶
笑	竹 天
飞	5 冫
风	几 乂
步	止 小
改	己 夂
收	卩 夂
根	木 艮
干	干
造	牛 口 辶
言	言
联	耳 丷 天
持	手 寺
组	纟 且
每	气 母
济	氵 文 
车	车
亲	立 木
极	木 及
林	林
服	月 卩 又
快	心 匚 人
办	力 八
议	言 4 乂
往	彳 4 王
元	二 儿
英	艹 冂 大
士	士
证	言 正
近	斤 辶
失	3 夫
转	车 二 5 4
夫	夫
令	令
准	冫 隹
布	右 巾
始	女 厶 口
怎	乍 心
呢	口 尸 匕
存	右 子
未	未
远	二 儿 辶
叫	口 卩
台	厶 口
单	 十
影	景 彡
具	且 八
罗	四 夕
字	宀 子
爱	 右 又
击	手 冂
流	氵 云 川
备	夂 田
兵	斤 八
连	车 辶
调	言 冂 吉
深	氵 冖 八 木
商	立 八 口
算	竹 目 艹
质	厂 十 贝
团	囗 十 3
集	隹 木
百	百
需	雨 而
价	亻 人 
花	艹 亻 匕
党	龸 口 儿
华	亻 匕 十
城	土 戊 5
石	石
级	纟 及
整	束 夂 正
府	广 亻 寸
离	亠 乂 冂 内
况	冫 口 儿
亚	1 业
请	言 丰 月
技	手 十 又
际	耳 示
约	纟 勹 4
示	示
复	气 日 夂
病	疒 1 内
息	自 心
究	穴 九
线	纟 1 戈
似	亻 匕 人
官	宀 吅
火	火
断	米 5 斤
精	米 丰 月
满	氵 艹 1 内 人
支	十 又
视	示 见
消	氵 龸 月
越	走 戊
器	吅 犬 吅
容	宀 谷
照	日 召 火
须	彡 页
九	九
增	土  日
研	石 开
写	冖 1 5 1
称	禾 角 小
企	人 止
八	八
功	工 力
吗	口 马
包	勹 巳
片	片
史	口 乂
委	禾 女
乎	3 丷 十
查	木 旦
轻	车 又 工
易	日 勹 彡
早	日 十
曾	 日
除	耳 人 禾
农	冖 衣
找	手 戈
装	片 士 衣
广	广
显	日 业
吧	口 巴
阿	耳 可
李	木 子
标	木 示
谈	言 火 火
吃	口 气 6
图	囗 夂 冫
念	令 5 心
六	六
引	弓 2
历	厂 力
首	丷 自
医	匚 矢
局	尸 5 口
突	穴 犬
专	二 5 4
费	弓  贝
号	口 丂
尽	尸 4 冫
另	口 力
周	冂 吉
较	车 六 乂
注	氵 4 王
语	言 五 口
仅	亻 又
考	者 丂
落	 各
青	丰 月
随	耳 右 月 辶
选	牛 儿 辶
列	歹 刀
武	1 弋 止
红	纟 工
响	口  口
虽	口 虫
推	手 隹
