的	白 勹 4
一	1
不	不
是	日 定字底
了	了
我	手 戈
人	人
有	左字框 青字底
他	亻 也
在	在字框 土
你	亻 尔字头 小
这	文 辶
个	全字头 2
来	未 丷
道	䒑 自 辶
大	大
上	上
中	中
她	女 也
说	讠 兑字头 见字底
到	至 刂
要	覀 女
去	土 厶
就	享字头 小 尤
好	女 子
也	也
们	亻 门
那	5 夫三 阝
子	子
会	全字头 云
为	4 为字框 4
得	彳 旦 寸
出	屮 凵
下	1 卜
地	土 也
着	差字头 目
以	以字旁 人
和	禾 口
学	学无子 子
可	可
摄	扌 耳 双
么	3 厶
过	寸 辶
天	天
心	心
国	囗 玉
自	自
小	小
没	氵 殳
对	又 寸
吧	口 巴
之	之
都	者 阝
然	然左角 犬 灬
能	厶 青字底 匕 匕
生	生
想	木 目 心
多	夕 夕
家	宀 豕
后	反字框 同字心
里	里
发	发无又 又
手	手
只	口 八
起	走 己
事	同字心 肀
如	女 口
而	而
开	开
面	面
什	亻 十
知	矢 口
年	卧人 年字底
无	无
用	用
身	身
已	已
方	方
前	䒑 青字底 刂
阻	阝 且
行	行
点	占 灬
样	木 羊
老	耂 匕
成	戊 5
见	见
现	⺩ 见
真	直 八
经	纟 经右角 工
童	立 里
又	又
作	亻 乍
意	音 心
于	1 于无横
两	1 内 人
情	忄 龶 青字底
日	日
咬	口 六 㐅
当	尚字头 彐
女	女
志	士 心
汇	氵 匸
动	云 力
很	彳 艮
所	戶 斤
但	亻 旦
处	夊 卜
回	回
实	宀 冬字底 大
话	讠 舌
主	4 王
同	冂 同字心
把	扌 巴
分	八 刀
长	长
本	木 1
全	全字头 ⺩
己	己
明	日 月
问	门 口
力	力
三	三
进	井 辶
此	止旁 匕
高	高
最	日 耳 又
时	日 寸
儿	见字底
气	气
正	正
些	止旁 匕 二
种	禾 中
理	⺩ 里
才	于无横 3
走	走
嗯	口 囗 大 心
十	十
眼	目 艮
间	门 日
帝	帝字头 巾
众	全字头 人 人
再	丙三 里无日
还	不 辶
其	其
向	向字框 口
运	云 辶
觉	学无子 见
外	夕 卜
